"","orthogroup.id","Estimate","SE","z.value","p.value","rep_seq_id"
"174","OG0003564",-2.169798725,0.606478737,-3.577699585,0.000346632,"1311A_05290"
"175","OG0007352",-2.168332384,1.600793678,-1.354535824,0.175565492,"CFBP7111_47910"
"176","OG0000963",-2.15607185,2.200120693,-0.979978897,0.327096536,"01_35570"
"177","OG0005305",-2.153311378,1.337275191,-1.610223081,0.107349164,"756C_38350"
"178","OG0004978",-2.136156138,1.460143864,-1.462976485,0.143473814,"01_18250"
"179","OG0002647",-2.135280133,0.847923807,-2.518245291,0.011794115,"01_01840"
"180","OG0000182",-2.125468468,0.696765466,-3.050479064,0.002284766,"1311A_35860"
"181","OG0009387",-2.122349661,2.174309104,-0.97610301,0.32901342,"CFBP4691_02060"
"182","OG0001379",-2.114166121,2.044221939,-1.034215552,0.301035405,"01_26310"
"183","OG0003787",-2.109398864,0.60891516,-3.464191732,0.000531827,"1311A_40160"
"184","OG0005352",-2.09728399,1.361197703,-1.540763686,0.12337431,"85-10_21860"
"185","OG0005022",-2.093850947,1.291274031,-1.621538804,0.104902135,"8590_26090"
"186","OG0005111",-2.085475425,1.332664744,-1.564891271,0.117608406,"85-10_21730"
"187","OG0006482",-2.064550085,1.497443459,-1.378716554,0.167982164,"3376_33020"
"188","OG0003992",-2.061975097,1.435853642,-1.43606217,0.150984651,"17_10200"
"189","OG0006676",-2.048260504,1.423842025,-1.438544774,0.150279543,"85-10_02080"
"190","OG0007856",-2.045416322,1.672943148,-1.222645446,0.22146364,"DE0062_24210"
"191","OG0004286",-2.044335808,0.856887812,-2.385768333,0.017043484,"01_15540"
"192","OG0006104",-2.043970041,1.509839035,-1.353766854,0.175810772,"17_35060"
"193","OG0005215",-2.043857852,1.466846335,-1.393368755,0.163508309,"BRE_17_03010"
"194","OG0004774",-2.039976562,1.399020324,-1.45814648,0.144800172,"01_00550"
"195","OG0003771",-2.029874111,0.694253682,-2.923821887,0.003457625,"1314C_01290"
"196","OG0005116",-2.028740647,1.364079843,-1.487259457,0.136946298,"A2111_04130"
"197","OG0004830",-2.021046739,0.851009255,-2.374882209,0.017554551,"3307_27360"
"198","OG0004265",-2.013973335,0.858552548,-2.345777599,0.018987433,"01_31350"
"199","OG0005268",-2.009377841,1.289459202,-1.558310521,0.119159656,"BA29-1_02430"
"200","OG0004938",-2.008949959,1.320765174,-1.521050069,0.128247273,"84A_30170"
"201","OG0003710",-2.005222883,0.598513411,-3.3503391,0.000807127,"17_40270"
"202","OG0006201",-1.995635729,1.29081206,-1.546031209,0.122097031,"BRIP62412_25120"
"203","OG0005887",-1.993163041,1.412150762,-1.411437854,0.158115548,"8590_28350"
"204","OG0005117",-1.992949352,1.372996652,-1.451532564,0.146631621,"AmX2_29130"
"205","OG0003708",-1.989890434,0.596473671,-3.33609098,0.000849654,"17_28150"
"206","OG0004796",-1.987533056,0.844159054,-2.354453283,0.018549975,"3307_29620"
"207","OG0005715",-1.971986884,1.3745528,-1.434638876,0.15139003,"BRE_17_17670"
"208","OG0007470",-1.969079022,1.740886753,-1.131078181,0.258022187,"LMG9002_15020"
"209","OG0005270",-1.962865555,1.43233499,-1.370395591,0.170563448,"BRIP62409_24040"
"210","OG0007323",-1.961405472,1.525668991,-1.285603551,0.198581457,"CFBP4691_26950"
"211","OG0005213",-1.950013697,1.694642378,-1.150693339,0.249858418,"AmX2_39480"
"212","OG0005644",-1.950013697,1.694642378,-1.150693339,0.249858418,"CFBP4691_27270"
"213","OG0005082",-1.944976071,1.256294633,-1.548184653,0.121577845,"18048_12630"
"214","OG0005156",-1.944976071,1.256294633,-1.548184653,0.121577845,"85-10_45370"
"215","OG0005157",-1.944976071,1.256294633,-1.548184653,0.121577845,"85-10_45450"
"216","OG0005158",-1.944976071,1.256294633,-1.548184653,0.121577845,"85-10_45490"
"217","OG0005159",-1.944976071,1.256294633,-1.548184653,0.121577845,"A1809_00410"
"218","OG0005160",-1.944976071,1.256294633,-1.548184653,0.121577845,"A1809_28350"
"219","OG0005161",-1.944976071,1.256294633,-1.548184653,0.121577845,"A1809_38710"
"220","OG0005162",-1.944976071,1.256294633,-1.548184653,0.121577845,"A7_43760"
"221","OG0005163",-1.944976071,1.256294633,-1.548184653,0.121577845,"AR81009_13050"
"222","OG0005164",-1.944976071,1.256294633,-1.548184653,0.121577845,"ATCC23378_22660"
"223","OG0006218",-1.94397148,1.514980296,-1.283166181,0.199433862,"BRIP62418_22080"
"224","OG0006061",-1.943256442,1.473293769,-1.318987756,0.187173206,"CFBP1156_35620"
"225","OG0003733",-1.940744402,0.610958261,-3.176558081,0.001490339,"01_07140"
"226","OG0007675",-1.93917964,1.735023799,-1.117667459,0.263709046,"CFBP1606R_26530"
"227","OG0005146",-1.934716277,1.343173802,-1.440406501,0.149752425,"3307_12850"
"228","OG0004054",-1.927485657,0.69473895,-2.774402756,0.005530316,"01_10010"
"229","OG0006074",-1.919579098,1.496895897,-1.282373144,0.19971178,"CFBP4642_24290"
"230","OG0008361",-1.916937676,1.947637028,-0.984237642,0.324998682,"CFBP7111_10740"
"231","OG0003492",-1.915628638,0.443501559,-4.319327853,1.57e-05,"18048_04930"
"232","OG0006060",-1.914995859,1.51499573,-1.264027232,0.206220253,"CFBP1156_16700"
"233","OG0006439",-1.898482941,1.383362908,-1.372367967,0.169948917,"DE0062_01140"
"234","OG0007154",-1.897071091,1.447946144,-1.310180699,0.190134713,"17_35080"
"235","OG0003491",-1.894454513,0.443442451,-4.27215416,1.94e-05,"01_23650"
"236","OG0003896",-1.891656407,0.609306668,-3.1046048,0.001905334,"18048_21660"
"237","OG0005044",-1.888434372,1.395977836,-1.352768162,0.176129707,"3307_09190"
"238","OG0009916",-1.883208277,2.111175747,-0.892018715,0.372382901,"DE0062_17300"
"239","OG0003819",-1.878374349,0.610188032,-3.078353314,0.00208148,"01_17890"
"240","OG0005411",-1.873488887,1.489073333,-1.25815757,0.208334776,"3307_13200"
