"genes","255531","255527","Number_pos_present_in","Number_neg_present_in","Number_pos_not_present_in","Number_neg_not_present_in","Sensitivity","Specificity","Odds_ratio","Naive_p","Bonferroni_p","Benjamini_H_p","Max_Pairwise_comparisons","Max_supporting_pairs","Max_opposing_pairs","Best_pairwise_comp_p","Worst_pairwise_comp_p","Empirical_p"
"Xanthomonas_OG0009727","0","0","2","1","150","45","1.3157894736842104","97.82608695652173","0.6","0.549676815811696","1.0","1.0","2","2","1","0.5","1.0","0.46875"
"Xanthomonas_OG0010449","0","0","2","1","150","45","1.3157894736842104","97.82608695652173","0.6","0.549676815811696","1.0","1.0","3","2","1","1.0","1.0","0.78125"
"Xanthomonas_OG0011492","0","0","2","1","150","45","1.3157894736842104","97.82608695652173","0.6","0.549676815811696","1.0","1.0","3","2","1","1.0","1.0","0.84375"
"Xanthomonas_OG0011818","0","0","2","1","150","45","1.3157894736842104","97.82608695652173","0.6","0.549676815811696","1.0","1.0","2","2","1","0.5","1.0","0.4375"
"Xanthomonas_OG0012359","0","0","2","1","150","45","1.3157894736842104","97.82608695652173","0.6","0.549676815811696","1.0","1.0","2","1","1","1.0","1.0","0.9375"
"Xanthomonas_OG0005369","0","0","2","1","150","45","1.3157894736842104","97.82608695652173","0.6","0.549676815811696","1.0","1.0","3","2","1","1.0","1.0","0.8125"
"Xanthomonas_OG0007340","0","0","2","1","150","45","1.3157894736842104","97.82608695652173","0.6","0.549676815811696","1.0","1.0","2","1","1","1.0","1.0","1.0"
"Xanthomonas_OG0008758","0","0","2","1","150","45","1.3157894736842104","97.82608695652173","0.6","0.549676815811696","1.0","1.0","3","2","1","1.0","1.0","0.8125"
"Xanthomonas_OG0009763","0","0","2","1","150","45","1.3157894736842104","97.82608695652173","0.6","0.549676815811696","1.0","1.0","2","1","1","1.0","1.0","1.0"
"Xanthomonas_OG0010453","0","0","2","1","150","45","1.3157894736842104","97.82608695652173","0.6","0.549676815811696","1.0","1.0","1","1","1","1.0","1.0","0.40625"
