"","orthogroup.id","Estimate","SE","z.value","p.value","rep_seq_id"
"231","OG0008012",-3.05854374,1.787423212,-1.711146929,0.087053993,"2768_34610"
"232","OG0008362",-3.05854374,1.787423212,-1.711146929,0.087053993,"CFBP7111_10750"
"233","OG0008363",-3.05854374,1.787423212,-1.711146929,0.087053993,"CFBP7111_10760"
"234","OG0008364",-3.05854374,1.787423212,-1.711146929,0.087053993,"CFBP7111_10770"
"235","OG0008365",-3.05854374,1.787423212,-1.711146929,0.087053993,"CFBP7111_10810"
"236","OG0008366",-3.05854374,1.787423212,-1.711146929,0.087053993,"CFBP7111_10820"
"237","OG0008367",-3.05854374,1.787423212,-1.711146929,0.087053993,"CFBP7111_10830"
"238","OG0008368",-3.05854374,1.787423212,-1.711146929,0.087053993,"CFBP7111_10860"
"239","OG0008369",-3.05854374,1.787423212,-1.711146929,0.087053993,"CFBP7111_10890"
"240","OG0008710",-3.05854374,1.787423212,-1.711146929,0.087053993,"LH3_45740"
"241","OG0009171",-3.05854374,1.787423212,-1.711146929,0.087053993,"BB151-3_43360"
"242","OG0011745",-3.05854374,1.787423212,-1.711146929,0.087053993,"XcannaCFBP8598_36730"
"243","OG0000133",-3.058220881,0.549579248,-5.564658586,2.63e-08,"01_24890"
"244","OG0003157",-3.04025829,1.501456855,-2.02487223,0.042880486,"1311A_01030"
"245","OG0007928",-3.040227509,1.260390006,-2.412132351,0.015859523,"LMC_P47_02280"
"246","OG0002892",-3.039358261,1.376724821,-2.207673032,0.027267074,"1311A_05960"
"247","OG0012146",-3.033653695,1.46222063,-2.074689437,0.038015327,NA
"248","OG0003690",-3.017971784,0.657913284,-4.587187795,4.49e-06,"17_27970"
"249","OG0003720",-3.010657212,0.70044742,-4.298191594,1.72e-05,"01_11800"
"250","OG0008064",-3.005644987,1.759573302,-1.708166965,0.087605366,"85-10_23470"
"251","OG0010279",-2.994674054,1.428593001,-2.096240183,0.03606089,"DE0062_47170"
"252","OG0002970",-2.994037459,1.497590664,-1.999236194,0.045582804,"1311A_24610"
"253","OG0008377",-2.993237597,1.777499184,-1.68396004,0.092189392,"CFBP7112_22650"
"254","OG0003137",-2.988929931,1.500522617,-1.991925944,0.046379184,"1311A_07700"
"255","OG0010132",-2.987430815,1.744372102,-1.71261098,0.086784132,"DE0062_38060"
"256","OG0000378",-2.987376358,1.724495344,-1.732319179,0.083216749,"01_10550"
"257","OG0012252",-2.984287457,1.451151974,-2.056495467,0.039734783,NA
"258","OG0002882",-2.977055483,1.502693476,-1.981146209,0.047574879,"1311A_40180"
"259","OG0002897",-2.974429607,1.365465362,-2.178326664,0.029381725,"1311A_33780"
"260","OG0000203",-2.97367467,0.493271726,-6.028471763,1.66e-09,"01_09020"
"261","OG0011561",-2.97087895,1.739075207,-1.708309645,0.087578903,"XNIII60_23730"
"262","OG0015305",-2.97087895,1.739075207,-1.708309645,0.087578903,NA
"263","OG0015306",-2.97087895,1.739075207,-1.708309645,0.087578903,NA
"264","OG0015307",-2.97087895,1.739075207,-1.708309645,0.087578903,NA
"265","OG0008913",-2.967204586,1.43064139,-2.074037985,0.038075783,"SN8_00130"
"266","OG0002891",-2.962744084,1.358519843,-2.180861839,0.029193637,"1311A_03340"
"267","OG0013487",-2.955622333,1.757263775,-1.681945747,0.092579361,NA
"268","OG0003960",-2.95169771,0.504322569,-5.852797184,4.83e-09,"3075_04190"
"269","OG0008347",-2.947501323,1.72453094,-1.709161172,0.087421099,"CFBP6164_26010"
"270","OG0003122",-2.942677993,1.509045393,-1.95002616,0.051173001,"1311A_17040"
"271","OG0002861",-2.941091887,1.367695827,-2.150399109,0.031523659,"01_31070"
"272","OG0002875",-2.941091887,1.367695827,-2.150399109,0.031523659,"1311A_09180"
"273","OG0002890",-2.941091887,1.367695827,-2.150399109,0.031523659,"01_36350"
"274","OG0002896",-2.941091887,1.367695827,-2.150399109,0.031523659,"1311A_26470"
"275","OG0007380",-2.934909499,0.920144441,-3.189618246,0.001424608,"CFBP8151_00540"
"276","OG0003123",-2.932361632,1.436264168,-2.041658978,0.041185371,"1311A_30580"
"277","OG0013471",-2.930492003,1.721651967,-1.702139608,0.088729201,NA
"278","OG0003317",-2.927272939,1.080974089,-2.707995474,0.006769095,"01_00050"
"279","OG0013484",-2.927132316,1.744085682,-1.678319102,0.093284821,NA
"280","OG0014509",-2.926771292,1.724501301,-1.697169663,0.089664589,NA
"281","OG0009880",-2.923133863,1.723778612,-1.695771048,0.089929247,"DE0062_12300"
"282","OG0002816",-2.912948058,1.523289742,-1.912274453,0.055841001,"01_06860"
"283","OG0002975",-2.912923365,1.523283853,-1.912265635,0.055842131,"1311A_39740"
"284","OG0011899",-2.910382466,1.701489966,-1.710490526,0.087175204,NA
"285","OG0011900",-2.910382466,1.701489966,-1.710490526,0.087175204,NA
"286","OG0010026",-2.904177883,1.705885665,-1.702445798,0.088671831,"DE0062_28110"
"287","OG0008428",-2.903304412,0.904615445,-3.209434934,0.001329961,"CFBP7764_15750"
"288","OG0013059",-2.89975825,1.701378015,-1.704358598,0.088314114,NA
"289","OG0003300",-2.898406584,1.588836785,-1.824231797,0.068117036,"1311A_23710"
"290","OG0002809",-2.898007673,1.515670726,-1.912029852,0.055872365,"01_24840"
"291","OG0012911",-2.893526028,1.696724232,-1.705360231,0.088127261,NA
"292","OG0005936",-2.892630706,1.698639997,-1.702909805,0.088584949,"CFBP5825R_42010"
"293","OG0006506",-2.891346746,1.698054608,-1.702740732,0.088616599,"A7_21380"
"294","OG0005774",-2.889349166,1.697198192,-1.702422958,0.088676109,"3004_31780"
"295","OG0003916",-2.885146864,0.494730142,-5.831758814,5.48e-09,"2768_03450"
"296","OG0009749",-2.884849887,1.701189495,-1.695783977,0.089926798,"DE0062_01960"
"297","OG0003990",-2.883892194,0.573237218,-5.030887914,4.88e-07,"01_13460"
"298","OG0008140",-2.868628169,1.399556676,-2.049669169,0.040396726,"B99_21780"
"299","OG0014159",-2.861394109,1.693543555,-1.689589914,0.091106437,NA
"300","OG0013472",-2.859640842,1.690109667,-1.691985377,0.090648762,NA
"301","OG0013473",-2.859640842,1.690109667,-1.691985377,0.090648762,NA
"302","OG0013474",-2.859640842,1.690109667,-1.691985377,0.090648762,NA
"303","OG0013475",-2.859640842,1.690109667,-1.691985377,0.090648762,NA
"304","OG0013479",-2.859640842,1.690109667,-1.691985377,0.090648762,NA
"305","OG0011738",-2.85938387,1.688517917,-1.693428208,0.090373989,"XcannaCFBP8593_13380"
"306","OG0011740",-2.855007323,1.686512837,-1.692846481,0.090484693,"XcannaCFBP8594_15120"
"307","OG0006676",-2.853249312,0.821476253,-3.473319284,0.000514063,"85-10_02080"
"308","OG0002831",-2.852517787,1.523337512,-1.872544832,0.061131265,"1311A_22870"
"309","OG0005519",-2.852088605,0.546967965,-5.214361329,1.84e-07,"3058_38990"
"310","OG0014281",-2.8510362,1.689954104,-1.687049485,0.091593837,NA
"311","OG0013436",-2.850664268,1.685588222,-1.691198497,0.090798898,NA
"312","OG0006497",-2.850078787,2.366764946,-1.204208636,0.228508949,"85-10_46560"
"313","OG0006780",-2.850078787,2.366764946,-1.204208636,0.228508949,"CFBP4691_23320"
"314","OG0006879",-2.850078787,2.366764946,-1.204208636,0.228508949,"2957_16150"
